ID,ruleName,description,departmentCode,jobRole,module_ID,dueDays,priority_code,isActive,createdAt,createdBy,modifiedAt,modifiedBy
12055264-5459-4078-891b-e39e5bf4c520,Orientation for New Hires,All new employees must complete orientation,IT,Developer,26629623-ab76-401e-ac9b-e13f41969a02,30,H,true,2024-01-10T00:00:00.000Z,admin@company.com,2024-01-10T00:00:00.000Z,admin@company.com
12055264-5459-4078-891b-e39e5bf4c521,ruleName-12055264-01,description-12055264-01,departmentCode-IT,jobRole-Developer,26629623-ab76-401e-ac9b-e13f41969a03,7,H,true,2003-07-11T00:00:00.000Z,createdBy.abc@example.org,2018-02-25T00:00:00.000Z,modifiedBy.abc@example.com
12055264-5459-4078-891b-e39e5bf4c522,ruleName-12055264-02,description-12055264-02,departmentCode-HR,jobRole-Manager,26629623-ab76-401e-ac9b-e13f41969a04,10,M,true,2003-07-12T00:00:00.000Z,createdBy.def@example.org,2018-02-26T00:00:00.000Z,modifiedBy.def@example.com
12055264-5459-4078-891b-e39e5bf4c523,ruleName-12055264-03,description-12055264-03,departmentCode-Finance,jobRole-Analyst,26629623-ab76-401e-ac9b-e13f41969a05,5,L,true,2003-07-13T00:00:00.000Z,createdBy.ghi@example.org,2018-02-27T00:00:00.000Z,modifiedBy.ghi@example.com
12055264-5459-4078-891b-e39e5bf4c524,ruleName-12055264-04,description-12055264-04,departmentCode-Operations,jobRole-Coordinator,26629623-ab76-401e-ac9b-e13f41969a06,8,H,true,2003-07-14T00:00:00.000Z,createdBy.jkl@example.org,2018-02-28T00:00:00.000Z,modifiedBy.jkl@example.com
12055264-5459-4078-891b-e39e5bf4c525,ruleName-12055264-05,description-12055264-05,departmentCode-Sales,jobRole-Executive,26629623-ab76-401e-ac9b-e13f41969a07,6,M,true,2003-07-15T00:00:00.000Z,createdBy.mno@example.org,2018-03-01T00:00:00.000Z,modifiedBy.mno@example.com
12055264-5459-4078-891b-e39e5bf4c526,ruleName-12055264-06,description-12055264-06,departmentCode-Marketing,jobRole-Specialist,26629623-ab76-401e-ac9b-e13f41969a08,9,L,true,2003-07-16T00:00:00.000Z,createdBy.pqr@example.org,2018-03-02T00:00:00.000Z,modifiedBy.pqr@example.com
12055264-5459-4078-891b-e39e5bf4c527,ruleName-12055264-07,description-12055264-07,departmentCode-Support,jobRole-Agent,26629623-ab76-401e-ac9b-e13f41969a09,4,H,true,2003-07-17T00:00:00.000Z,createdBy.stu@example.org,2018-03-03T00:00:00.000Z,modifiedBy.stu@example.com
12055264-5459-4078-891b-e39e5bf4c528,ruleName-12055264-08,description-12055264-08,departmentCode-Legal,jobRole-Advisor,26629623-ab76-401e-ac9b-e13f41969a0a,11,M,true,2003-07-18T00:00:00.000Z,createdBy.vwx@example.org,2018-03-04T00:00:00.000Z,modifiedBy.vwx@example.com
12055264-5459-4078-891b-e39e5bf4c529,ruleName-12055264-09,description-12055264-09,departmentCode-Compliance,jobRole-Officer,26629623-ab76-401e-ac9b-e13f41969a0b,7,L,true,2003-07-19T00:00:00.000Z,createdBy.yz@example.org,2018-03-05T00:00:00.000Z,modifiedBy.yz@example.com
