code,desc,name,descr
s-23920796,Standard training,Standard,Standard training type
s-23920797,Specialized training,Specialized,Specialized training
s-23920798,Compliance training,Compliance,Compliance related
s-23920799,Technical training,Technical,Technical skills
s-23920800,Leadership training,Leadership,Leadership development
s-23920801,Soft skills training,Soft Skills,Soft skills development
s-23920802,On the job training,On-Job,On-the-job training
s-23920803,Online training,Online,Online learning
s-23920804,Workshop training,Workshop,Workshop sessions
s-23920805,Conference training,Conference,Conference attendance
