code,locale,name,descr,desc
s-23920796,ar,معيار,تدريب معياري,تدريب معياري
s-23920796,zh,标准,标准培训,标准培训
s-23920797,en,Specialized,Specialized training,Specialized training
s-23920797,de,Spezialisiert,Spezialisiertes Training,Spezialisiertes Training
s-23920798,fr,Conformité,Formation conformité,Formation conformité
s-23920798,es,Cumplimiento,Capacitación de cumplimiento,Capacitación de cumplimiento
s-23920799,it,Tecnico,Allenamento tecnico,Allenamento tecnico
s-23920800,pt,Liderança,Desenvolvimento de liderança,Desenvolvimento de liderança
s-23920801,ru,Мягкие навыки,Развитие навыков,Развитие навыков
s-23920802,ja,実務的,実地訓練,実地訓練
