code,name,descr
INR,Indian Rupee,Official currency of India
USD,US Dollar,Official currency of the United States
EUR,Euro,Official currency of Eurozone countries
GBP,British Pound,Official currency of the United Kingdom
JPY,Japanese Yen,Official currency of Japan
CNY,Chinese Yuan,Official currency of China
AED,UAE Dirham,Official currency of United Arab Emirates
SGD,Singapore Dollar,Official currency of Singapore
AUD,Australian Dollar,Official currency of Australia
CAD,Canadian Dollar,Official currency of Canada
