ID,contractNumber,vendor_ID,material_ID,contractedPrice,currency,validFrom,validTo,status,createdAt,createdBy,modifiedAt,modifiedBy
c1,CT-2025-001,v1,m1,420.00,USD,2025-01-01,2025-12-31,ACTIVE,2025-01-10T09:00:00Z,admin,2025-01-10T09:00:00Z,admin
c2,CT-2025-002,v2,m2,1100.00,EUR,2025-01-01,2025-12-31,ACTIVE,2025-01-11T10:30:00Z,admin,2025-01-11T10:30:00Z,admin
c3,CT-2025-003,v3,m3,330.00,GBP,2025-01-01,2025-12-31,ACTIVE,2025-01-12T08:15:00Z,admin,2025-01-12T08:15:00Z,admin
c4,CT-2025-004,v4,m4,80.00,CNY,2025-01-01,2025-06-30,EXPIRED,2025-01-13T14:00:00Z,admin,2025-01-13T14:00:00Z,admin
c5,CT-2025-005,v5,m5,240.00,CAD,2025-01-01,2025-12-31,ACTIVE,2025-01-14T11:45:00Z,admin,2025-01-14T11:45:00Z,admin
c6,CT-2025-006,v6,m6,750.00,USD,2025-01-01,2025-12-31,ACTIVE,2025-01-15T09:30:00Z,admin,2025-01-15T09:30:00Z,admin
c7,CT-2025-007,v7,m7,580.00,EUR,2025-01-01,2025-12-31,ACTIVE,2025-01-16T10:00:00Z,admin,2025-01-16T10:00:00Z,admin
c8,CT-2025-008,v8,m8,4.25,GBP,2025-01-01,2025-12-31,ACTIVE,2025-01-17T13:20:00Z,admin,2025-01-17T13:20:00Z,admin
c9,CT-2025-009,v9,m9,42.00,EUR,2025-01-01,2025-12-31,ACTIVE,2025-01-18T15:30:00Z,admin,2025-01-18T15:30:00Z,admin
c10,CT-2025-010,v10,m10,3300.00,USD,2025-01-01,2025-12-31,ACTIVE,2025-01-19T08:45:00Z,admin,2025-01-19T08:45:00Z,admin
c11,CT-2025-011,v11,m11,32.00,JPY,2025-01-01,2025-06-30,EXPIRED,2025-01-20T07:00:00Z,admin,2025-01-20T07:00:00Z,admin
c12,CT-2025-012,v12,m12,110.00,INR,2025-01-01,2025-12-31,ACTIVE,2025-01-21T12:15:00Z,admin,2025-01-21T12:15:00Z,admin
c13,CT-2025-013,v13,m13,60.00,USD,2025-01-01,2025-12-31,ACTIVE,2025-01-22T14:45:00Z,admin,2025-01-22T14:45:00Z,admin
c14,CT-2025-014,v14,m14,360.00,EUR,2025-01-01,2025-12-31,ACTIVE,2025-01-23T09:00:00Z,admin,2025-01-23T09:00:00Z,admin
c15,CT-2025-015,v15,m15,90.00,SGD,2025-01-01,2025-12-31,ACTIVE,2025-01-24T10:30:00Z,admin,2025-01-24T10:30:00Z,admin
c16,CT-2025-016,v16,m16,80.00,MXN,2025-01-01,2025-12-31,ACTIVE,2025-01-25T16:00:00Z,admin,2025-01-25T16:00:00Z,admin
c17,CT-2025-017,v17,m17,12.00,USD,2025-01-01,2025-06-30,EXPIRED,2025-01-26T11:20:00Z,admin,2025-01-26T11:20:00Z,admin
c18,CT-2025-018,v18,m18,170.00,BRL,2025-01-01,2025-12-31,ACTIVE,2025-01-27T13:40:00Z,admin,2025-01-27T13:40:00Z,admin
c19,CT-2025-019,v19,m19,850.00,AUD,2025-01-01,2025-12-31,ACTIVE,2025-01-28T15:10:00Z,admin,2025-01-28T15:10:00Z,admin
c20,CT-2025-020,v20,m20,52.00,AED,2025-01-01,2025-12-31,ACTIVE,2025-01-29T08:30:00Z,admin,2025-01-29T08:30:00Z,admin
