ID,amount,currency,date,vendor_ID,status
eo1,2500.00,USD,2025-01-10,v1,APPROVED
eo2,5600.00,EUR,2025-01-11,v2,APPROVED
eo3,1850.00,GBP,2025-01-12,v3,PENDING
eo4,3200.00,CNY,2025-01-13,v4,APPROVED
eo5,4100.00,CAD,2025-01-14,v5,REJECTED
eo6,6750.00,USD,2025-01-15,v6,APPROVED
eo7,2200.00,EUR,2025-01-16,v7,PENDING
eo8,5300.00,GBP,2025-01-17,v8,APPROVED
eo9,1975.00,EUR,2025-01-18,v9,APPROVED
eo10,8450.00,USD,2025-01-19,v10,APPROVED
eo11,3600.00,JPY,2025-01-20,v11,PENDING
eo12,7200.00,INR,2025-01-21,v12,APPROVED
eo13,4850.00,USD,2025-01-22,v13,APPROVED
eo14,5400.00,EUR,2025-01-23,v14,PENDING
eo15,6200.00,SGD,2025-01-24,v15,APPROVED
eo16,3950.00,MXN,2025-01-25,v16,APPROVED
eo17,2875.00,USD,2025-01-26,v17,REJECTED
eo18,7600.00,BRL,2025-01-27,v18,APPROVED
eo19,4100.00,AUD,2025-01-28,v19,PENDING
eo20,5750.00,AED,2025-01-29,v20,APPROVED
