ID,module,entityName,enable,createdAt,createdBy,modifiedAt,modifiedBy
dd0e8400-e29b-41d4-a716-446655440001,CORE,Users,OPEN,2024-01-04T08:00:00Z,system,2024-01-08T08:00:00Z,system
dd0e8400-e29b-41d4-a716-446655440002,CORE,Companies,OPEN,2024-01-04T08:01:00Z,system,2024-01-08T08:01:00Z,system
dd0e8400-e29b-41d4-a716-446655440003,CORE,Departments,OPEN,2024-01-04T08:02:00Z,system,2024-01-08T08:02:00Z,system
dd0e8400-e29b-41d4-a716-446655440004,CORE,Designations,OPEN,2024-01-04T08:03:00Z,system,2024-01-08T08:03:00Z,system
dd0e8400-e29b-41d4-a716-446655440005,CORE,Roles,OPEN,2024-01-04T08:04:00Z,system,2024-01-08T08:04:00Z,system
dd0e8400-e29b-41d4-a716-446655440006,CORE,Permissions,OPEN,2024-01-04T08:05:00Z,system,2024-01-08T08:05:00Z,system
dd0e8400-e29b-41d4-a716-446655440007,CORE,UserRoles,OPEN,2024-01-04T08:06:00Z,system,2024-01-08T08:06:00Z,system
dd0e8400-e29b-41d4-a716-446655440008,CORE,RolePermission,OPEN,2024-01-04T08:07:00Z,system,2024-01-08T08:07:00Z,system
dd0e8400-e29b-41d4-a716-446655440009,CORE,ApprovalFlows,OPEN,2024-01-04T08:08:00Z,system,2024-01-08T08:08:00Z,system
dd0e8400-e29b-41d4-a716-446655440010,CORE,Approvals,OPEN,2024-01-04T08:09:00Z,system,2024-01-08T08:09:00Z,system
dd0e8400-e29b-41d4-a716-446655440011,HR,Users,OPEN,2024-01-04T08:10:00Z,system,2024-01-08T08:10:00Z,system
dd0e8400-e29b-41d4-a716-446655440012,HR,Departments,OPEN,2024-01-04T08:11:00Z,system,2024-01-08T08:11:00Z,system
dd0e8400-e29b-41d4-a716-446655440013,HR,Designations,OPEN,2024-01-04T08:12:00Z,system,2024-01-08T08:12:00Z,system
dd0e8400-e29b-41d4-a716-446655440014,HR,Approvals,OPEN,2024-01-04T08:13:00Z,system,2024-01-08T08:13:00Z,system
dd0e8400-e29b-41d4-a716-446655440015,HR,Notification,OPEN,2024-01-04T08:14:00Z,system,2024-01-08T08:14:00Z,system
dd0e8400-e29b-41d4-a716-446655440016,FINANCE,Companies,OPEN,2024-01-04T08:15:00Z,system,2024-01-08T08:15:00Z,system
dd0e8400-e29b-41d4-a716-446655440017,FINANCE,Approvals,OPEN,2024-01-04T08:16:00Z,system,2024-01-08T08:16:00Z,system
dd0e8400-e29b-41d4-a716-446655440018,FINANCE,AuditLogs,OPEN,2024-01-04T08:17:00Z,system,2024-01-08T08:17:00Z,system
dd0e8400-e29b-41d4-a716-446655440019,IT,Users,OPEN,2024-01-04T08:18:00Z,system,2024-01-08T08:18:00Z,system
dd0e8400-e29b-41d4-a716-446655440020,IT,Attachments,OPEN,2024-01-04T08:19:00Z,system,2024-01-08T08:19:00Z,system
dd0e8400-e29b-41d4-a716-446655440021,IT,Notification,OPEN,2024-01-04T08:20:00Z,system,2024-01-08T08:20:00Z,system
dd0e8400-e29b-41d4-a716-446655440022,SALES,Users,OPEN,2024-01-04T08:21:00Z,system,2024-01-08T08:21:00Z,system
dd0e8400-e29b-41d4-a716-446655440023,SALES,Approvals,OPEN,2024-01-04T08:22:00Z,system,2024-01-08T08:22:00Z,system
dd0e8400-e29b-41d4-a716-446655440024,SALES,Notification,OPEN,2024-01-04T08:23:00Z,system,2024-01-08T08:23:00Z,system
dd0e8400-e29b-41d4-a716-446655440025,MARKETING,Users,OPEN,2024-01-04T08:24:00Z,system,2024-01-08T08:24:00Z,system
dd0e8400-e29b-41d4-a716-446655440026,MARKETING,Approvals,OPEN,2024-01-04T08:25:00Z,system,2024-01-08T08:25:00Z,system
dd0e8400-e29b-41d4-a716-446655440027,MARKETING,Notification,OPEN,2024-01-04T08:26:00Z,system,2024-01-08T08:26:00Z,system
dd0e8400-e29b-41d4-a716-446655440028,OPERATIONS,Users,OPEN,2024-01-04T08:27:00Z,system,2024-01-08T08:27:00Z,system
dd0e8400-e29b-41d4-a716-446655440029,OPERATIONS,Approvals,OPEN,2024-01-04T08:28:00Z,system,2024-01-08T08:28:00Z,system
dd0e8400-e29b-41d4-a716-446655440030,OPERATIONS,AuditLogs,OPEN,2024-01-04T08:29:00Z,system,2024-01-08T08:29:00Z,system
dd0e8400-e29b-41d4-a716-446655440031,LEGAL,Users,OPEN,2024-01-04T08:30:00Z,system,2024-01-08T08:30:00Z,system
dd0e8400-e29b-41d4-a716-446655440032,LEGAL,Approvals,OPEN,2024-01-04T08:31:00Z,system,2024-01-08T08:31:00Z,system
dd0e8400-e29b-41d4-a716-446655440033,LEGAL,AuditLogs,OPEN,2024-01-04T08:32:00Z,system,2024-01-08T08:32:00Z,system
dd0e8400-e29b-41d4-a716-446655440034,PRODUCT,Users,OPEN,2024-01-04T08:33:00Z,system,2024-01-08T08:33:00Z,system
dd0e8400-e29b-41d4-a716-446655440035,PRODUCT,Approvals,OPEN,2024-01-04T08:34:00Z,system,2024-01-08T08:34:00Z,system
dd0e8400-e29b-41d4-a716-446655440036,PRODUCT,Notification,OPEN,2024-01-04T08:35:00Z,system,2024-01-08T08:35:00Z,system
dd0e8400-e29b-41d4-a716-446655440037,SECURITY,Users,OPEN,2024-01-04T08:36:00Z,system,2024-01-08T08:36:00Z,system
dd0e8400-e29b-41d4-a716-446655440038,SECURITY,AuditLogs,OPEN,2024-01-04T08:37:00Z,system,2024-01-08T08:37:00Z,system
dd0e8400-e29b-41d4-a716-446655440039,SECURITY,SystemSettings,OPEN,2024-01-04T08:38:00Z,system,2024-01-08T08:38:00Z,system
dd0e8400-e29b-41d4-a716-446655440040,SUPPORT,Users,OPEN,2024-01-04T08:39:00Z,system,2024-01-08T08:39:00Z,system
dd0e8400-e29b-41d4-a716-446655440041,SUPPORT,Notification,OPEN,2024-01-04T08:40:00Z,system,2024-01-08T08:40:00Z,system
dd0e8400-e29b-41d4-a716-446655440042,SUPPORT,Approvals,OPEN,2024-01-04T08:41:00Z,system,2024-01-08T08:41:00Z,system
dd0e8400-e29b-41d4-a716-446655440043,ADMIN,Users,OPEN,2024-01-04T08:42:00Z,system,2024-01-08T08:42:00Z,system
dd0e8400-e29b-41d4-a716-446655440044,ADMIN,Companies,OPEN,2024-01-04T08:43:00Z,system,2024-01-08T08:43:00Z,system
dd0e8400-e29b-41d4-a716-446655440045,ADMIN,Roles,OPEN,2024-01-04T08:44:00Z,system,2024-01-08T08:44:00Z,system
dd0e8400-e29b-41d4-a716-446655440046,ADMIN,Permissions,OPEN,2024-01-04T08:45:00Z,system,2024-01-08T08:45:00Z,system
dd0e8400-e29b-41d4-a716-446655440047,ADMIN,ApprovalFlows,OPEN,2024-01-04T08:46:00Z,system,2024-01-08T08:46:00Z,system
dd0e8400-e29b-41d4-a716-446655440048,ADMIN,AuditLogs,OPEN,2024-01-04T08:47:00Z,system,2024-01-08T08:47:00Z,system
dd0e8400-e29b-41d4-a716-446655440049,ADMIN,SystemSettings,OPEN,2024-01-04T08:48:00Z,system,2024-01-08T08:48:00Z,system
dd0e8400-e29b-41d4-a716-446655440050,ADMIN,Notification,OPEN,2024-01-04T08:49:00Z,system,2024-01-08T08:49:00Z,system
