ID,referenceID,approver_ID,status_code,comment,createdAt,createdBy,modifiedAt,modifiedBy
ee0e8400-e29b-41d4-a716-446655440001,REF001,880e8400-e29b-41d4-a716-446655440001,PENDING,Awaiting approval,2024-01-06T08:00:00Z,system,2024-01-06T08:00:00Z,system
ee0e8400-e29b-41d4-a716-446655440002,REF002,880e8400-e29b-41d4-a716-446655440002,APPROVED,Approved successfully,2024-01-06T08:01:00Z,system,2024-01-06T08:01:00Z,system
ee0e8400-e29b-41d4-a716-446655440003,REF003,880e8400-e29b-41d4-a716-446655440003,REJECTED,Missing required data,2024-01-06T08:02:00Z,system,2024-01-06T08:02:00Z,system
ee0e8400-e29b-41d4-a716-446655440004,REF004,880e8400-e29b-41d4-a716-446655440004,PENDING,Waiting for manager review,2024-01-06T08:03:00Z,system,2024-01-06T08:03:00Z,system
ee0e8400-e29b-41d4-a716-446655440005,REF005,880e8400-e29b-41d4-a716-446655440005,APPROVED,Approved by HR,2024-01-06T08:04:00Z,system,2024-01-06T08:04:00Z,system
ee0e8400-e29b-41d4-a716-446655440006,REF006,880e8400-e29b-41d4-a716-446655440006,REJECTED,Budget exceeded,2024-01-06T08:05:00Z,system,2024-01-06T08:05:00Z,system
ee0e8400-e29b-41d4-a716-446655440007,REF007,880e8400-e29b-41d4-a716-446655440007,PENDING,Pending finance approval,2024-01-06T08:06:00Z,system,2024-01-06T08:06:00Z,system
ee0e8400-e29b-41d4-a716-446655440008,REF008,880e8400-e29b-41d4-a716-446655440008,APPROVED,Approved by director,2024-01-06T08:07:00Z,system,2024-01-06T08:07:00Z,system
ee0e8400-e29b-41d4-a716-446655440009,REF009,880e8400-e29b-41d4-a716-446655440009,REJECTED,Incorrect details,2024-01-06T08:08:00Z,system,2024-01-06T08:08:00Z,system
ee0e8400-e29b-41d4-a716-446655440010,REF010,880e8400-e29b-41d4-a716-446655440010,PENDING,Awaiting review,2024-01-06T08:09:00Z,system,2024-01-06T08:09:00Z,system
ee0e8400-e29b-41d4-a716-446655440011,REF011,880e8400-e29b-41d4-a716-446655440011,APPROVED,Approved by admin,2024-01-06T08:10:00Z,system,2024-01-06T08:10:00Z,system
ee0e8400-e29b-41d4-a716-446655440012,REF012,880e8400-e29b-41d4-a716-446655440012,REJECTED,Policy violation,2024-01-06T08:11:00Z,system,2024-01-06T08:11:00Z,system
ee0e8400-e29b-41d4-a716-446655440013,REF013,880e8400-e29b-41d4-a716-446655440013,PENDING,Waiting for documents,2024-01-06T08:12:00Z,system,2024-01-06T08:12:00Z,system
