ID,fileName,fileType,filesize,uploadedBy_ID,createdAt,createdBy,modifiedAt,modifiedBy
ab0e8400-e29b-41d4-a716-446655440001,offer_letter_user01.pdf,application/pdf,245760,880e8400-e29b-41d4-a716-446655440001,2024-01-08T08:00:00Z,system,2024-01-08T08:00:00Z,system
ab0e8400-e29b-41d4-a716-446655440002,profile_pic_user02.jpg,image/jpeg,102400,880e8400-e29b-41d4-a716-446655440002,2024-01-08T08:01:00Z,system,2024-01-08T08:01:00Z,system
ab0e8400-e29b-41d4-a716-446655440003,resume_user03.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,512000,880e8400-e29b-41d4-a716-446655440003,2024-01-08T08:02:00Z,system,2024-01-08T08:02:00Z,system
ab0e8400-e29b-41d4-a716-446655440004,invoice_user04.pdf,application/pdf,358400,880e8400-e29b-41d4-a716-446655440004,2024-01-08T08:03:00Z,system,2024-01-08T08:03:00Z,system
ab0e8400-e29b-41d4-a716-446655440005,id_proof_user05.png,image/png,204800,880e8400-e29b-41d4-a716-446655440005,2024-01-08T08:04:00Z,system,2024-01-08T08:04:00Z,system
ab0e8400-e29b-41d4-a716-446655440006,contract_user06.pdf,application/pdf,460800,880e8400-e29b-41d4-a716-446655440006,2024-01-08T08:05:00Z,system,2024-01-08T08:05:00Z,system
ab0e8400-e29b-41d4-a716-446655440007,training_material_user07.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,786432,880e8400-e29b-41d4-a716-446655440007,2024-01-08T08:06:00Z,system,2024-01-08T08:06:00Z,system
ab0e8400-e29b-41d4-a716-446655440008,tax_form_user08.pdf,application/pdf,389120,880e8400-e29b-41d4-a716-446655440008,2024-01-08T08:07:00Z,system,2024-01-08T08:07:00Z,system
ab0e8400-e29b-41d4-a716-446655440009,profile_pic_user09.jpg,image/jpeg,98304,880e8400-e29b-41d4-a716-446655440009,2024-01-08T08:08:00Z,system,2024-01-08T08:08:00Z,system
ab0e8400-e29b-41d4-a716-446655440010,resume_user10.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,534528,880e8400-e29b-41d4-a716-446655440010,2024-01-08T08:09:00Z,system,2024-01-08T08:09:00Z,system
ab0e8400-e29b-41d4-a716-446655440011,offer_letter_user11.pdf,application/pdf,247808,880e8400-e29b-41d4-a716-446655440011,2024-01-08T08:10:00Z,system,2024-01-08T08:10:00Z,system
ab0e8400-e29b-41d4-a716-446655440012,profile_pic_user12.jpg,image/jpeg,110592,880e8400-e29b-41d4-a716-446655440012,2024-01-08T08:11:00Z,system,2024-01-08T08:11:00Z,system
ab0e8400-e29b-41d4-a716-446655440013,resume_user13.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,501760,880e8400-e29b-41d4-a716-446655440013,2024-01-08T08:12:00Z,system,2024-01-08T08:12:00Z,system
ab0e8400-e29b-41d4-a716-446655440014,invoice_user14.pdf,application/pdf,366592,880e8400-e29b-41d4-a716-446655440014,2024-01-08T08:13:00Z,system,2024-01-08T08:13:00Z,system
ab0e8400-e29b-41d4-a716-446655440015,id_proof_user15.png,image/png,212992,880e8400-e29b-41d4-a716-446655440015,2024-01-08T08:14:00Z,system,2024-01-08T08:14:00Z,system
ab0e8400-e29b-41d4-a716-446655440016,contract_user16.pdf,application/pdf,471040,880e8400-e29b-41d4-a716-446655440016,2024-01-08T08:15:00Z,system,2024-01-08T08:15:00Z,system
ab0e8400-e29b-41d4-a716-446655440017,training_material_user17.pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,802816,880e8400-e29b-41d4-a716-446655440017,2024-01-08T08:16:00Z,system,2024-01-08T08:16:00Z,system
ab0e8400-e29b-41d4-a716-446655440018,tax_form_user18.pdf,application/pdf,401408,880e8400-e29b-41d4-a716-446655440018,2024-01-08T08:17:00Z,system,2024-01-08T08:17:00Z,system
