ID,title,level_code,createdAt,createdBy,modifiedAt,modifiedBy
770e8400-e29b-41d4-a716-446655440001,Intern Software Engineer,INTERN,2024-01-03T08:00:00Z,system,2024-01-07T08:00:00Z,system
770e8400-e29b-41d4-a716-446655440002,Junior Software Engineer,JUNIOR,2024-01-03T08:01:00Z,system,2024-01-07T08:01:00Z,system
770e8400-e29b-41d4-a716-446655440003,Senior Software Engineer,SENIOR,2024-01-03T08:02:00Z,system,2024-01-07T08:02:00Z,system
770e8400-e29b-41d4-a716-446655440004,Team Lead Engineer,TEAMLEAD,2024-01-03T08:03:00Z,system,2024-01-07T08:03:00Z,system
770e8400-e29b-41d4-a716-446655440005,Engineering Manager,MANAGER,2024-01-03T08:04:00Z,system,2024-01-07T08:04:00Z,system
770e8400-e29b-41d4-a716-446655440006,Director of Engineering,DIRECTOR,2024-01-03T08:05:00Z,system,2024-01-07T08:05:00Z,system
770e8400-e29b-41d4-a716-446655440007,Chief Technology Officer,C-SUITE,2024-01-03T08:06:00Z,system,2024-01-07T08:06:00Z,system
770e8400-e29b-41d4-a716-446655440008,Intern HR,INTERN,2024-01-03T08:07:00Z,system,2024-01-07T08:07:00Z,system
770e8400-e29b-41d4-a716-446655440009,Junior HR Executive,JUNIOR,2024-01-03T08:08:00Z,system,2024-01-07T08:08:00Z,system
770e8400-e29b-41d4-a716-446655440010,Senior HR Executive,SENIOR,2024-01-03T08:09:00Z,system,2024-01-07T08:09:00Z,system
770e8400-e29b-41d4-a716-446655440011,HR Team Lead,TEAMLEAD,2024-01-03T08:10:00Z,system,2024-01-07T08:10:00Z,system
770e8400-e29b-41d4-a716-446655440012,HR Manager,MANAGER,2024-01-03T08:11:00Z,system,2024-01-07T08:11:00Z,system
770e8400-e29b-41d4-a716-446655440013,Finance Intern,INTERN,2024-01-03T08:12:00Z,system,2024-01-07T08:12:00Z,system
770e8400-e29b-41d4-a716-446655440014,Junior Accountant,JUNIOR,2024-01-03T08:13:00Z,system,2024-01-07T08:13:00Z,system
770e8400-e29b-41d4-a716-446655440015,Senior Accountant,SENIOR,2024-01-03T08:14:00Z,system,2024-01-07T08:14:00Z,system
770e8400-e29b-41d4-a716-446655440016,Finance Team Lead,TEAMLEAD,2024-01-03T08:15:00Z,system,2024-01-07T08:15:00Z,system
770e8400-e29b-41d4-a716-446655440017,Finance Manager,MANAGER,2024-01-03T08:16:00Z,system,2024-01-07T08:16:00Z,system
770e8400-e29b-41d4-a716-446655440018,Director of Finance,DIRECTOR,2024-01-03T08:17:00Z,system,2024-01-07T08:17:00Z,system
770e8400-e29b-41d4-a716-446655440019,Sales Intern,INTERN,2024-01-03T08:18:00Z,system,2024-01-07T08:18:00Z,system
770e8400-e29b-41d4-a716-446655440020,Junior Sales Executive,JUNIOR,2024-01-03T08:19:00Z,system,2024-01-07T08:19:00Z,system
770e8400-e29b-41d4-a716-446655440021,Senior Sales Executive,SENIOR,2024-01-03T08:20:00Z,system,2024-01-07T08:20:00Z,system
770e8400-e29b-41d4-a716-446655440022,Sales Team Lead,TEAMLEAD,2024-01-03T08:21:00Z,system,2024-01-07T08:21:00Z,system
770e8400-e29b-41d4-a716-446655440023,Sales Manager,MANAGER,2024-01-03T08:22:00Z,system,2024-01-07T08:22:00Z,system
770e8400-e29b-41d4-a716-446655440024,Director of Sales,DIRECTOR,2024-01-03T08:23:00Z,system,2024-01-07T08:23:00Z,system
770e8400-e29b-41d4-a716-446655440025,Marketing Intern,INTERN,2024-01-03T08:24:00Z,system,2024-01-07T08:24:00Z,system
770e8400-e29b-41d4-a716-446655440026,Junior Marketing Executive,JUNIOR,2024-01-03T08:25:00Z,system,2024-01-07T08:25:00Z,system
770e8400-e29b-41d4-a716-446655440027,Senior Marketing Executive,SENIOR,2024-01-03T08:26:00Z,system,2024-01-07T08:26:00Z,system
770e8400-e29b-41d4-a716-446655440028,Marketing Team Lead,TEAMLEAD,2024-01-03T08:27:00Z,system,2024-01-07T08:27:00Z,system
770e8400-e29b-41d4-a716-446655440029,Marketing Manager,MANAGER,2024-01-03T08:28:00Z,system,2024-01-07T08:28:00Z,system
770e8400-e29b-41d4-a716-446655440030,Director of Marketing,DIRECTOR,2024-01-03T08:29:00Z,system,2024-01-07T08:29:00Z,system
770e8400-e29b-41d4-a716-446655440031,IT Intern,INTERN,2024-01-03T08:30:00Z,system,2024-01-07T08:30:00Z,system
770e8400-e29b-41d4-a716-446655440032,Junior IT Support,JUNIOR,2024-01-03T08:31:00Z,system,2024-01-07T08:31:00Z,system
770e8400-e29b-41d4-a716-446655440033,Senior IT Support,SENIOR,2024-01-03T08:32:00Z,system,2024-01-07T08:32:00Z,system
770e8400-e29b-41d4-a716-446655440034,IT Team Lead,TEAMLEAD,2024-01-03T08:33:00Z,system,2024-01-07T08:33:00Z,system
