ID,resource,action
aa0e8400-e29b-41d4-a716-446655440001,Users,CREATE
aa0e8400-e29b-41d4-a716-446655440002,Users,READ
aa0e8400-e29b-41d4-a716-446655440003,Users,UPDATE
aa0e8400-e29b-41d4-a716-446655440004,Users,DELETE
aa0e8400-e29b-41d4-a716-446655440005,Companies,CREATE
aa0e8400-e29b-41d4-a716-446655440006,Companies,READ
aa0e8400-e29b-41d4-a716-446655440007,Companies,UPDATE
aa0e8400-e29b-41d4-a716-446655440008,Companies,DELETE
aa0e8400-e29b-41d4-a716-446655440009,Departments,CREATE
aa0e8400-e29b-41d4-a716-446655440010,Departments,READ
aa0e8400-e29b-41d4-a716-446655440011,Departments,UPDATE
aa0e8400-e29b-41d4-a716-446655440012,Departments,DELETE
aa0e8400-e29b-41d4-a716-446655440013,Designations,CREATE
aa0e8400-e29b-41d4-a716-446655440014,Designations,READ
aa0e8400-e29b-41d4-a716-446655440015,Designations,UPDATE
aa0e8400-e29b-41d4-a716-446655440016,Designations,DELETE
aa0e8400-e29b-41d4-a716-446655440017,Roles,CREATE
aa0e8400-e29b-41d4-a716-446655440018,Roles,READ
aa0e8400-e29b-41d4-a716-446655440019,Roles,UPDATE
aa0e8400-e29b-41d4-a716-446655440020,Roles,DELETE
aa0e8400-e29b-41d4-a716-446655440021,Permissions,CREATE
aa0e8400-e29b-41d4-a716-446655440022,Permissions,READ
aa0e8400-e29b-41d4-a716-446655440023,Permissions,UPDATE
aa0e8400-e29b-41d4-a716-446655440024,Permissions,DELETE
aa0e8400-e29b-41d4-a716-446655440025,UserRoles,CREATE
aa0e8400-e29b-41d4-a716-446655440026,UserRoles,READ
aa0e8400-e29b-41d4-a716-446655440027,UserRoles,DELETE
aa0e8400-e29b-41d4-a716-446655440028,Approvals,CREATE
aa0e8400-e29b-41d4-a716-446655440029,Approvals,READ
aa0e8400-e29b-41d4-a716-446655440030,Approvals,UPDATE
aa0e8400-e29b-41d4-a716-446655440031,ApprovalFlows,READ
aa0e8400-e29b-41d4-a716-446655440032,ApprovalFlows,UPDATE
aa0e8400-e29b-41d4-a716-446655440033,AuditLogs,READ
aa0e8400-e29b-41d4-a716-446655440034,AuditLogs,CREATE
aa0e8400-e29b-41d4-a716-446655440035,Attachments,CREATE
aa0e8400-e29b-41d4-a716-446655440036,Attachments,READ
aa0e8400-e29b-41d4-a716-446655440037,Attachments,DELETE
aa0e8400-e29b-41d4-a716-446655440038,Notification,READ
aa0e8400-e29b-41d4-a716-446655440039,Notification,UPDATE
aa0e8400-e29b-41d4-a716-446655440040,SystemSettings,READ
aa0e8400-e29b-41d4-a716-446655440041,SystemSettings,UPDATE
aa0e8400-e29b-41d4-a716-446655440042,Reports,READ
aa0e8400-e29b-41d4-a716-446655440043,Reports,EXPORT
aa0e8400-e29b-41d4-a716-446655440044,Dashboards,READ
aa0e8400-e29b-41d4-a716-446655440045,Dashboards,CONFIGURE
aa0e8400-e29b-41d4-a716-446655440046,Users,ACTIVATE
aa0e8400-e29b-41d4-a716-446655440047,Users,DEACTIVATE
aa0e8400-e29b-41d4-a716-446655440048,Approvals,APPROVE
aa0e8400-e29b-41d4-a716-446655440049,Approvals,REJECT
aa0e8400-e29b-41d4-a716-446655440050,System,ADMIN
