ID,settingName,value,module
aa1e8400-e29b-41d4-a716-446655440001,APP_NAME,Core Platform,CORE
aa1e8400-e29b-41d4-a716-446655440002,APP_VERSION,1.0.0,CORE
aa1e8400-e29b-41d4-a716-446655440003,DEFAULT_LANGUAGE,en,CORE
aa1e8400-e29b-41d4-a716-446655440004,TIMEZONE,UTC,CORE
aa1e8400-e29b-41d4-a716-446655440005,ENABLE_NOTIFICATIONS,true,CORE
aa1e8400-e29b-41d4-a716-446655440006,ENABLE_APPROVALS,true,CORE
aa1e8400-e29b-41d4-a716-446655440007,PASSWORD_MIN_LENGTH,8,SECURITY
aa1e8400-e29b-41d4-a716-446655440008,PASSWORD_EXPIRY_DAYS,90,SECURITY
aa1e8400-e29b-41d4-a716-446655440009,MAX_LOGIN_ATTEMPTS,5,SECURITY
aa1e8400-e29b-41d4-a716-446655440010,SESSION_TIMEOUT_MIN,30,SECURITY
aa1e8400-e29b-41d4-a716-446655440011,AUDIT_LOGGING_ENABLED,true,SECURITY
aa1e8400-e29b-41d4-a716-446655440012,ENCRYPTION_ENABLED,true,SECURITY
aa1e8400-e29b-41d4-a716-446655440013,EMAIL_SMTP_HOST,smtp.company.com,NOTIFICATION
aa1e8400-e29b-41d4-a716-446655440014,EMAIL_SMTP_PORT,587,NOTIFICATION
aa1e8400-e29b-41d4-a716-446655440015,EMAIL_FROM_ADDRESS,no-reply@company.com,NOTIFICATION
aa1e8400-e29b-41d4-a716-446655440016,EMAIL_ENABLED,true,NOTIFICATION
aa1e8400-e29b-41d4-a716-446655440017,EMAIL_RETRY_COUNT,3,NOTIFICATION
aa1e8400-e29b-41d4-a716-446655440018,FILE_UPLOAD_MAX_MB,50,FILES
aa1e8400-e29b-41d4-a716-446655440019,FILE_ALLOWED_TYPES,pdf,docx,xlsx,FILES
aa1e8400-e29b-41d4-a716-446655440020,FILE_STORAGE_TYPE,LOCAL,FILES
aa1e8400-e29b-41d4-a716-446655440021,FILE_RETENTION_DAYS,365,FILES
aa1e8400-e29b-41d4-a716-446655440022,API_RATE_LIMIT,1000,INTEGRATION
aa1e8400-e29b-41d4-a716-446655440023,API_TIMEOUT_SEC,30,INTEGRATION
aa1e8400-e29b-41d4-a716-446655440024,API_LOGGING,true,INTEGRATION
aa1e8400-e29b-41d4-a716-446655440025,API_VERSION,v1,INTEGRATION
aa1e8400-e29b-41d4-a716-446655440026,UI_THEME,light,UI
aa1e8400-e29b-41d4-a716-446655440027,UI_DATE_FORMAT,YYYY-MM-DD,UI
aa1e8400-e29b-41d4-a716-446655440028,UI_TIME_FORMAT,HH:mm,UI
aa1e8400-e29b-41d4-a716-446655440029,UI_ITEMS_PER_PAGE,20,UI
aa1e8400-e29b-41d4-a716-446655440030,UI_SHOW_HELP,true,UI
aa1e8400-e29b-41d4-a716-446655440031,HR_DEFAULT_ROLE,EMPLOYEE,HR
aa1e8400-e29b-41d4-a716-446655440032,HR_APPROVAL_REQUIRED,true,HR
aa1e8400-e29b-41d4-a716-446655440033,HR_ONBOARDING_DAYS,30,HR
aa1e8400-e29b-41d4-a716-446655440034,HR_PROBATION_MONTHS,6,HR
aa1e8400-e29b-41d4-a716-446655440035,FIN_CURRENCY,USD,FINANCE
aa1e8400-e29b-41d4-a716-446655440036,FIN_TAX_RATE,18,FINANCE
aa1e8400-e29b-41d4-a716-446655440037,FIN_FISCAL_YEAR_START,APRIL,FINANCE
aa1e8400-e29b-41d4-a716-446655440038,FIN_APPROVAL_LIMIT,10000,FINANCE
aa1e8400-e29b-41d4-a716-446655440039,OPS_WORKING_DAYS,MON-FRI,OPERATIONS
aa1e8400-e29b-41d4-a716-446655440040,OPS_SHIFT_HOURS,9,OPERATIONS
aa1e8400-e29b-41d4-a716-446655440041,OPS_ENABLE_OVERTIME,true,OPERATIONS
aa1e8400-e29b-41d4-a716-446655440042,OPS_MAX_OVERTIME_HRS,20,OPERATIONS
aa1e8400-e29b-41d4-a716-446655440043,SEC_ALERT_EMAIL,security@company.com,SECURITY
aa1e8400-e29b-41d4-a716-446655440044,SEC_ENABLE_2FA,true,SECURITY
aa1e8400-e29b-41d4-a716-446655440045,SEC_2FA_METHOD,OTP,SECURITY
aa1e8400-e29b-41d4-a716-446655440046,LOG_LEVEL,INFO,LOGGING
aa1e8400-e29b-41d4-a716-446655440047,LOG_RETENTION_DAYS,180,LOGGING
aa1e8400-e29b-41d4-a716-446655440048,LOG_EXPORT_ENABLED,true,LOGGING
aa1e8400-e29b-41d4-a716-446655440049,MAINTENANCE_MODE,false,SYSTEM
aa1e8400-e29b-41d4-a716-446655440050,SYSTEM_REGION,IN,SYSTEM
